メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 2WD,2001,6MT,283,AP1,3 - 普通,115 ～ 119,2024/2/1,,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,224,AP1,3 - 普通,149 ~ 152,2024/3/1,,2000,7.1,シルバー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,221,AP1,3 - 普通,105 ～ 107,2023/10/1,ベースグレード,2000,6.8,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2002,6MT,209,AP1,3 - 普通,110 ～ 114,2024/1/1,,2000,,シルバー,AC
ホンダ,S2000 2WD,1999,6MT,193,AP1,3 - 普通,112 ～ 118,2023/7/1,,2000,,シルバー,AC
ホンダ,S2000 オープン 2WD,2002,6MT,179,AP1,3 - 普通,134 ～ 136,2023/10/1,,2000,6.1,シルバー,AC
ホンダ,S2000 オープン 2WD,1999,6MT,179,AP1,3 - 普通,154 ～ 159,2023/6/1,ベースグレード,2000,6.1,シルバー,AC AW 革
ホンダ,S2000 オープン 2WD,2000,6MT,175,AP1,3 - 普通,106 ～ 109,2023/9/1,,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2002,6MT,173,AP1,3 - 普通,134 ～ 138,2023/7/1,タイプＶ,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,164,AP1,3 - 普通,108 ~ 114,2024/4/1,,2000,6.11,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,161,AP1,3 - 普通,141 ~ 145,2024/3/1,,2000,6.9,シルバー,AC 革
ホンダ,S2000 2WD,2009,6MT,156,AP2,3 - 普通,219 ～ 221,2023/9/1,,2000,6.1,シルバー,AC
ホンダ,S2000 オープン 2WD,2009,6MT,138,AP2,3 - 普通,289 ~ 291,2024/3/1,タイプS,2200,8.1,シルバー,AC NV AW
ホンダ,S2000 オープン 2WD,2003,6MT,137,AP1,3 - 普通,166 ~ 172,2024/4/1,タイプV,2000,7.4,シルバー,AC
ホンダ,S2000 オープン 2WD,2006,6MT,123,AP2,4 - きれい,209 ～ 212,2024/2/1,ベースグレード,2000,6.2,シルバー,AC
ホンダ,S2000 オープン 2WD,2003,6MT,118,AP1,4 - きれい,208 ～ 212,2023/10/1,ベースグレード,2000,6.11,シルバー,AC AW
ホンダ,S2000 2WD,1999,6MT,118,AP1,3 - 普通,114 ～ 118,2023/9/1,,2000,6.11,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,2008,6MT,117,AP2,4 - きれい,239 ～ 242,2023/7/1,タイプＶ,2000,,シルバー,AC 革
ホンダ,S2000 オープン 2WD,1999,6MT,114,AP1,3 - 普通,131 ~ 134,2024/4/1,ベースグレード,2000,7.1,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,114,AP1,3 - 普通,139 ～ 144,2023/8/1,タイプＳ,2200,7.3,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,112,AP1,3 - 普通,99 ～ 102,2023/7/1,,2000,6.4,シルバー,AC 革
ホンダ,S2000 2WD,2001,6MT,107,AP1,4 - きれい,184 ～ 187,2023/8/1,,2000,6.12,シルバー,AC AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,104,AP1,4 - きれい,274 ～ 278,2023/6/1,ベースグレード,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,103,AP2,4 - きれい,244 ~ 250,2024/4/1,ベースグレード,2200,7.6,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2008,6MT,103,AP2,5 - すごくきれい,365 ～ 369,2023/8/1,,2000,,シルバー,AC
ホンダ,S2000 2WD,2003,6MT,99,AP1,4 - きれい,189 ～ 192,2023/10/1,ベースグレード,2000,5.1,シルバー,AC AW
ホンダ,S2000 2WD,2004,6MT,93,AP1,3 - 普通,193 ～ 198,2023/7/1,ベースグレード,2000,,シルバー,AC 革
ホンダ,S2000 2WD,2006,6MT,88,AP2,3 - 普通,229 ～ 234,2023/7/1,,2000,7.3,シルバー,AC
ホンダ,S2000 オープン 2WD,2004,6MT,87,AP1,4 - きれい,304 ～ 308,2023/7/1,,2000,,シルバー,AC NV TV AW SR 革
ホンダ,S2000 2WD,1999,6MT,86,AP1,4 - きれい,241 ～ 245,2023/12/1,,2200,,シルバー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,85,AP1,3 - 普通,263 ～ 269,2023/6/1,,2000,,シルバー,AC 革
ホンダ,S2000 2WD,1999,6MT,79,AP1,4 - きれい,258 ～ 262,2024/1/1,ベースグレード,2000,,シルバー,AC 革
ホンダ,S2000 2WD,2007,6MT,75,AP2,5 - すごくきれい,344 ～ 347,2023/11/1,ベースグレード,2000,6.4,シルバー,AC
ホンダ,S2000 オープン 2WD,2008,6MT,56,AP2,4 - きれい,377 ～ 379,2023/6/1,ベースグレード,2000,,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2006,6MT,48,AP2,5 - すごくきれい,328 ～ 332,2024/1/1,ベースグレード,2000,7.4,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2003,6MT,41,AP1,5 - すごくきれい,351 ～ 354,2024/3/1,タイプＶ,2000,,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2008,6MT,36,AP2,3 - 普通,398 ～ 401,2023/6/1,ベースグレード,2000,6.9,シルバー,AC NV TV AW SR 革
ホンダ,S2000 2WD,2002,6MT,35,AP1,5 - すごくきれい,261 ～ 264,2023/7/1,ベースグレード,2000,7.1,シルバー,AC AW 革
ホンダ,S2000 2WD,2006,6MT,26,AP2,5 - すごくきれい,385 ～ 389,2023/8/1,,2000,5.11,シルバー,AC 革
